code,description
2909.43,-- Éteres monobutílicos do etilenoglicol ou do dietilenoglicol
2909.43.10,Do etilenoglicol
2909.43.20,Do dietilenoglicol
2909.44,-- Outros éteres monoalquílicos do etilenoglicol ou do dietilenoglicol
2909.44.1,Do etilenoglicol
2909.44.11,Éter etílico
2909.44.12,Éter isobutílico
2909.44.13,Éter hexílico
2909.44.19,Outros
2909.44.2,Do dietilenoglicol
2909.44.21,Éter etílico
2909.44.29,Outros
2909.49,-- Outros
2909.49.10,Guaifenesina
2909.49.2,Etilenoglicóis e seus éteres
2909.49.21,Trietilenoglicol
2909.49.22,Tetraetilenoglicol
2909.49.23,Pentaetilenoglicol e seus éteres
2909.49.24,Éter fenílico do etilenoglicol
2909.49.29,Outros
2909.49.3,Propilenoglicóis e seus éteres
2909.49.31,Dipropilenoglicol
2909.49.32,"Éteres do mono-, di- e tripropilenoglicol"
2909.49.39,Outros
2909.49.4,Butilenoglicóis e seus éteres
2909.49.41,Éter etílico do butilenoglicol
2909.49.49,Outros
2909.49.50,Álcoois fenoxibenzílicos
2909.49.90,Outros
2909.50,"- Éteres-fenóis, éteres-álcoois-fenóis, e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2909.50.1,Éteres-fenóis
2909.50.11,Triclosan
2909.50.12,Eugenol
2909.50.13,Isoeugenol
2909.50.19,Outros
2909.50.90,Outros
2909.60,"- Peróxidos de álcoois, peróxidos de éteres, peróxidos de acetais e de hemiacetais, peróxidos de cetonas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2909.60.1,Hidroperóxidos
2909.60.11,De di-isopropilbenzeno
2909.60.12,De ter-butila
2909.60.13,De p-mentano
2909.60.19,Outros
2909.60.90,Outros
29.10,"Epóxidos, epoxiálcoois, epoxifenóis e epoxiéteres, com três átomos no ciclo, e seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2910.10.00,- Oxirano (óxido de etileno)
2910.20.00,- Metiloxirano (óxido de propileno)
2910.30.00,"- 1-Cloro-2,3-epoxipropano (epicloridrina)"
2910.40.00,"- Dieldrin (ISO, DCI)"
2910.50.00,- Endrin (ISO)
2910.90,- Outros
2910.90.10,Óxido de estireno
2910.90.90,Outros
2911.00,"Acetais e hemiacetais, mesmo que contenham outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2911.00.10,Dimetilacetal do 2-nitrobenzaldeído
2911.00.90,Outros
29.12,"Aldeídos, mesmo que contenham outras funções oxigenadas; polímeros cíclicos dos aldeídos; paraformaldeído."
2912.1,- Aldeídos acíclicos que não contenham outras funções oxigenadas:
2912.11.00,-- Metanal (formaldeído)
2912.12.00,-- Etanal (acetaldeído)
2912.19,-- Outros
2912.19.1,Dialdeídos
2912.19.11,Glioxal
2912.19.12,Glutaraldeído
2912.19.19,Outros
2912.19.2,Monoaldeídos não saturados
2912.19.21,Citral
2912.19.22,"Citronelal (3,7-dimetil-6-octenal)"
2912.19.23,"Bergamal (3,7-dimetil-2-metileno-6-octenal)"
2912.19.29,Outros
2912.19.9,Outros
2912.19.91,Heptanal
2912.19.99,Outros
2912.2,- Aldeídos cíclicos que não contenham outras funções oxigenadas:
2912.21.00,-- Benzaldeído (aldeído benzoico)
2912.29,-- Outros
2912.29.10,Aldeído alfa-amilcinâmico
2912.29.20,Aldeído alfa-hexilcinâmico
2912.29.90,Outros
2912.4,"- Aldeídos-álcoois, aldeídos-éteres, aldeídos-fenóis e aldeídos que contenham outras funções oxigenadas:"
2912.41.00,-- Vanilina (aldeído metilprotocatéquico)
2912.42.00,-- Etilvanilina (aldeído etilprotocatéquico)
2912.49,-- Outros
2912.49.10,3-Fenoxibenzaldeído
2912.49.20,3-Hidroxibenzaldeído
2912.49.30,"3,4,5-Trimetoxibenzaldeído"
2912.49.4,Aldeídos-álcoois
2912.49.41,4-(4-Hidroxi-4-metilpentil)-3-cicloexeno-1-carboxialdeído
2912.49.49,Outros
2912.49.90,Outros
2912.50.00,- Polímeros cíclicos dos aldeídos
2912.60.00,- Paraformaldeído
2913.00,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos produtos da posição 29.12."
2913.00.10,Tricloroacetaldeído
2913.00.90,Outros
29.14,"Cetonas e quinonas, mesmo que contenham outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2914.1,- Cetonas acíclicas que não contenham outras funções oxigenadas:
2914.11.00,-- Acetona
2914.12.00,-- Butanona (metiletilcetona)
2914.13.00,-- 4-Metilpentan-2-ona (metilisobutilcetona)
2914.19,-- Outras
2914.19.10,Forona
2914.19.2,Dicetonas
2914.19.21,Acetilacetona
2914.19.22,Acetonilacetona
2914.19.23,Diacetila
2914.19.29,Outras
2914.19.30,Metilexilcetona
2914.19.40,Pseudoiononas
2914.19.50,Metilisopropilcetona
2914.19.90,Outras
2914.2,"- Cetonas ciclânicas, ciclênicas ou cicloterpênicas que não contenham outras funções oxigenadas:"
2914.22,-- Cicloexanona e metilcicloexanonas
2914.22.10,Cicloexanona
2914.22.20,Metilcicloexanonas
2914.23,-- Iononas e metiliononas
2914.23.10,Iononas
2914.23.20,Metiliononas
2914.29,-- Outras
2914.29.10,Carvona
2914.29.20,l-Mentona
2914.29.90,Outras
2914.3,- Cetonas aromáticas que não contenham outras funções oxigenadas:
2914.31.00,-- Fenilacetona (fenilpropan-2-ona)
2914.39,-- Outras
2914.39.10,Acetofenona
2914.39.90,Outras
2914.40,- Cetonas-álcoois e cetonas-aldeídos
2914.40.10,4-Hidroxi-4-metilpentan-2-ona (diacetona álcool)
2914.40.9,Outras
2914.40.91,Benzoína
2914.40.99,Outras
2914.50,- Cetonas-fenóis e cetonas que contenham outras funções oxigenadas
2914.50.10,Nabumetona
2914.50.20,"1,8-Di-hidroxi-3-metil-9-antrona e sua forma enólica (crisarobina ou chrysarobin)"
2914.50.90,Outras
2914.6,- Quinonas:
2914.61.00,-- Antraquinona
2914.62.00,-- Coenzima Q10 (ubidecarenona (DCI))
2914.69,-- Outras
2914.69.10,Lapachol
2914.69.20,Menadiona
2914.69.90,Outras
2914.7,"- Derivados halogenados, sulfonados, nitrados ou nitrosados:"
2914.71.00,-- Clordecona (ISO)
2914.79,-- Outros
2914.79.1,Derivados halogenados
2914.79.11,1-Cloro-5-hexanona
2914.79.19,Outros
2914.79.2,Derivados sulfonados
2914.79.21,Bissulfito sódico de menadiona
2914.79.22,Ácido 2-hidroxi-4-metoxibenzofenona-5-sulfônico (sulisobenzona)
2914.79.29,Outros
2914.79.90,Outros
29.15,"Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2915.1,"- Ácido fórmico, seus sais e seus ésteres:"
2915.11.00,-- Ácido fórmico
2915.12,-- Sais do ácido fórmico
2915.12.10,De sódio
2915.12.90,Outros
2915.13,-- Ésteres do ácido fórmico
2915.13.10,De geranila
2915.13.90,Outros
2915.2,- Ácido acético e seus sais; anidrido acético:
2915.21.00,-- Ácido acético
2915.24.00,-- Anidrido acético
2915.29,-- Outros
2915.29.10,Acetato de sódio
2915.29.20,Acetatos de cobalto
2915.29.90,Outros
2915.3,- Ésteres do ácido acético:
2915.31.00,-- Acetato de etila
2915.32.00,-- Acetato de vinila
2915.33.00,-- Acetato de n-butila
2915.36.00,-- Acetato de dinoseb (ISO)
2915.39,-- Outros
2915.39.10,Acetato de linalila
2915.39.2,Acetatos de glicerila
2915.39.21,Triacetina
2915.39.29,Outros
2915.39.3,"Acetatos de monoálcoois acíclicos saturados de até 8 átomos de carbono, inclusive"
2915.39.31,De n-propila
2915.39.32,Acetato de 2-etoxietila
2915.39.39,Outros
2915.39.4,Acetatos de decila ou de hexenila
2915.39.41,De decila
2915.39.42,De hexenila
2915.39.5,"Acetatos de benzestrol, de dienoestrol, de hexestrol, de mestilbol ou de estilbestrol"
2915.39.51,De benzestrol
2915.39.52,De dienoestrol
2915.39.53,De hexestrol
2915.39.54,De mestilbol
2915.39.55,De estilbestrol
2915.39.6,"Acetatos de tricloro-alfa-feniletila, de triclorometilfenilcarbinila ou diacetato de etilenoglicol (diacetato de etileno)"
2915.39.61,De tricloro-alfa-feniletila
2915.39.62,De triclorometilfenilcarbinila
2915.39.63,Diacetato de etilenoglicol (diacetato de etileno)
2915.39.9,Outros
2915.39.91,De 2-ter-butilcicloexila
2915.39.92,De bornila
2915.39.93,De dimetilbenzilcarbinila
2915.39.94,Bis(p-acetoxifenil)cicloexilidenometano (ciclofenil)
2915.39.99,Outros
2915.40,"- Ácidos mono-, di- ou tricloroacéticos, seus sais e seus ésteres"
2915.40.10,Ácido monocloroacético
2915.40.20,Monocloroacetato de sódio
2915.40.90,Outros
2915.50,"- Ácido propiônico, seus sais e seus ésteres"
2915.50.10,Ácido propiônico
2915.50.20,Sais
2915.50.30,Ésteres
2915.60,"- Ácidos butanoicos, ácidos pentanoicos, seus sais e seus ésteres"
2915.60.1,"Ácidos butanoicos, seus sais e seus ésteres"
2915.60.11,Ácidos butanoicos e seus sais
2915.60.12,Butanoato de etila
2915.60.19,Outros
2915.60.2,"Ácidos pentanoicos, seus sais e seus ésteres"
2915.60.21,Ácido piválico
2915.60.29,Outros
2915.70,"- Ácido palmítico, ácido esteárico, seus sais e seus ésteres"
2915.70.1,"Ácido palmítico, seus sais e seus ésteres"
2915.70.11,Ácido palmítico
2915.70.19,Outros
2915.70.20,Ácido esteárico
2915.70.3,Sais do ácido esteárico
2915.70.31,De zinco
2915.70.39,Outros
2915.70.40,Ésteres do ácido esteárico
2915.90,- Outros
2915.90.10,Cloreto de cloroacetila
2915.90.2,"Ácido 2-etilexanoico, seus sais e seus ésteres"
2915.90.21,Ácido 2-etilexanoico (ácido 2-etilexoico)
2915.90.22,2-Etilexanoato de estanho II
2915.90.23,Di(2-etilexanoato) de trietilenoglicol
2915.90.24,Cloreto de 2-etilexanoíla
2915.90.29,Outros
2915.90.3,Ácido mirístico; ácido caprílico; seus sais e seus ésteres
2915.90.31,Ácido mirístico
2915.90.32,Ácido caprílico
2915.90.33,Miristato de isopropila
2915.90.39,Outros
2915.90.4,"Ácido láurico, seus sais e seus ésteres"
2915.90.41,Ácido láurico
2915.90.43,Laurato de pentaclorobifenila
2915.90.49,Outros
2915.90.50,Peróxidos de ácidos
2915.90.60,Peroxiácidos
2915.90.90,Outros
29.16,"Ácidos monocarboxílicos acíclicos não saturados e ácidos monocarboxílicos cíclicos, seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2916.1,"- Ácidos monocarboxílicos acíclicos não saturados, seus anidridos, halogenetos, peróxidos e peroxiácidos e seus derivados:"
2916.11,-- Ácido acrílico e seus sais
2916.11.10,Ácido acrílico
2916.11.20,Sais
2916.12,-- Ésteres do ácido acrílico
2916.12.10,De metila
2916.12.20,De etila
2916.12.30,De butila
2916.12.40,De 2-etilexila
2916.12.90,Outros
2916.13,-- Ácido metacrílico e seus sais
2916.13.10,Ácido metacrílico
2916.13.20,Sais
2916.14,-- Ésteres do ácido metacrílico
2916.14.10,De metila
2916.14.20,De etila
2916.14.30,De n-butila
2916.14.90,Outros
2916.15,"-- Ácidos oleico, linoleico ou linolênico, seus sais e seus ésteres"
2916.15.1,"Ácido oleico, seus sais e seus ésteres"
2916.15.11,Oleato de manitol
2916.15.19,Outros
2916.15.20,Ácido linoleico; ácido linolênico; seus sais e seus ésteres
2916.16.00,-- Binapacril (ISO)
2916.19,-- Outros
2916.19.1,"Ácido sórbico, seus sais e seus ésteres"
2916.19.11,Sorbato de potássio
2916.19.19,Outros
2916.19.2,"Ácido undecilênico, seus sais e seus ésteres"
2916.19.21,Ácido undecilênico
2916.19.22,Undecilenato de metila
2916.19.23,Undecilenato de zinco
2916.19.29,Outros
2916.19.90,Outros
2916.20,"- Ácidos monocarboxílicos ciclânicos, ciclênicos ou cicloterpênicos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados"
2916.20.1,Derivados do ácido ciclopropanocarboxílico
2916.20.11,"Ácido 3-(2,2-dibromovinil)-2,2-dimetilciclopropanocarboxílico"
2916.20.12,"Cloreto do ácido 3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxílico (DVO)"
2916.20.13,Aletrinas
2916.20.14,Permetrina
2916.20.15,Bifentrina
2916.20.19,Outros
2916.20.90,Outros
2916.3,"- Ácidos monocarboxílicos aromáticos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:"
2916.31,"-- Ácido benzoico, seus sais e seus ésteres"
2916.31.10,Ácido benzoico
2916.31.2,Sais
2916.31.21,De sódio
2916.31.22,De amônio
2916.31.29,Outros
2916.31.3,Ésteres
2916.31.31,De metila
2916.31.32,De benzila
2916.31.39,Outros
2916.32,-- Peróxido de benzoíla e cloreto de benzoíla
2916.32.10,Peróxido de benzoíla
2916.32.20,Cloreto de benzoíla
2916.34.00,-- Ácido fenilacético e seus sais
2916.39,-- Outros
2916.39.10,Cloreto de 4-cloro-alfa-(1-metiletil)benzenoacetila
2916.39.20,Ibuprofeno
2916.39.30,Ácido 4-cloro-3-nitrobenzoico
2916.39.40,Perbenzoato de ter-butila
2916.39.90,Outros
29.17,"Ácidos policarboxílicos, seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2917.1,"- Ácidos policarboxílicos acíclicos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:"
2917.11,"-- Ácido oxálico, seus sais e seus ésteres"
2917.11.10,Ácido oxálico e seus sais
2917.11.20,Ésteres
2917.12,"-- Ácido adípico, seus sais e seus ésteres"
2917.12.10,Ácido adípico
2917.12.20,Sais e ésteres
2917.13,"-- Ácido azelaico, ácido sebácico, seus sais e seus ésteres"
2917.13.10,"Ácido azelaico, seus sais e seus ésteres"
2917.13.2,"Ácido sebácico, seus sais e seus ésteres"
2917.13.21,Ácido sebácico
2917.13.22,Sebacato de dibutila
2917.13.23,Sebacato de dioctila
2917.13.29,Outros
2917.14.00,-- Anidrido maleico
2917.19,-- Outros
2917.19.10,Dioctilsulfossuccinato de sódio
2917.19.2,"Ácido maleico, seus sais e seus ésteres"
2917.19.21,Ácido maleico
2917.19.22,Sais e ésteres
2917.19.30,"Ácido fumárico, seus sais e seus ésteres"
2917.19.90,Outros
2917.20.00,"- Ácidos policarboxílicos ciclânicos, ciclênicos ou cicloterpênicos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados"
2917.3,"- Ácidos policarboxílicos aromáticos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:"
2917.32.00,-- Ortoftalatos de dioctila
2917.33.00,-- Ortoftalatos de dinonila ou de didecila
2917.34.00,-- Outros ésteres do ácido ortoftálico
2917.35.00,-- Anidrido ftálico
2917.36.00,-- Ácido tereftálico e seus sais
2917.37.00,-- Tereftalato de dimetila
2917.39,-- Outros
2917.39.1,"Ácido m-ftálico, seus sais e seus ésteres"
2917.39.11,Ésteres
2917.39.19,Outros
2917.39.20,Ácido ortoftálico e seus sais
2917.39.3,Outros ésteres do ácido tereftálico
2917.39.31,De dioctila
2917.39.39,Outros
2917.39.40,"Sais e ésteres do ácido trimelítico (sais e ésteres do ácido 1,2,4-benzenotricarboxílico)"
2917.39.50,"Anidrido trimelítico (ácido 1,3-dioxo-5-isobenzofuranocarboxílico)"
2917.39.90,Outros
29.18,"Ácidos carboxílicos que contenham funções oxigenadas suplementares e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2918.1,"- Ácidos carboxílicos de função álcool, mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:"
2918.11.00,"-- Ácido láctico, seus sais e seus ésteres"
2918.12.00,-- Ácido tartárico
2918.13,-- Sais e ésteres do ácido tartárico
2918.13.10,Sais
2918.13.20,Ésteres
2918.14.00,-- Ácido cítrico
2918.15.00,-- Sais e ésteres do ácido cítrico
2918.16,"-- Ácido glucônico, seus sais e seus ésteres"
2918.16.10,Gluconato de cálcio
2918.16.90,Outros
2918.17.00,"-- Ácido 2,2-difenil-2-hidroxiacético (ácido benzílico)"
2918.18.00,-- Clorobenzilato (ISO)
2918.19,-- Outros
2918.19.10,Bromopropilato
2918.19.2,"Ácidos biliares, seus sais e seus ésteres; derivados destes produtos"
2918.19.21,Ursodiol (ácido ursodeoxicólico)
2918.19.22,Ácido quenodeoxicólico
2918.19.29,Outros
2918.19.30,Ácido 12-hidroxiesteárico
2918.19.4,"Sais e ésteres do ácido 2,2-difenil-2-hidroxiacético (ácido benzílico)"
2918.19.42,Sais
2918.19.43,Ésteres
2918.19.90,Outros
2918.2,"- Ácidos carboxílicos de função fenol, mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:"
2918.21,-- Ácido salicílico e seus sais
2918.21.10,Ácido salicílico
2918.21.20,Sais
2918.22,"-- Ácido o-acetilsalicílico, seus sais e seus ésteres"
2918.22.1,Ácido o-acetilsalicílico e seus sais
2918.22.11,Ácido o-acetilsalicílico
2918.22.12,o-Acetilsalicilato de alumínio
2918.22.19,Outros
2918.22.20,Ésteres
2918.23.00,-- Outros ésteres do ácido salicílico e seus sais
2918.29,-- Outros
2918.29.10,Ácidos hidroxinaftoicos
2918.29.2,"Ácido p-hidroxibenzoico, seus sais e seus ésteres"
2918.29.21,Ácido p-hidroxibenzoico
2918.29.22,Metilparabeno
2918.29.23,Propilparabeno
2918.29.29,Outros
2918.29.30,"Ácido gálico, seus sais e seus ésteres"
2918.29.40,"Tetrakis(3-(3,5-di-ter-butil-4-hidroxifenil)propionato) de pentaeritritila"
2918.29.50,"3-(3,5-Di-ter-butil-4-hidroxifenil)propionato de octadecila"
2918.29.90,Outros
2918.30,"- Ácidos carboxílicos de função aldeído ou cetona, mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados"
2918.30.10,Cetoprofeno
2918.30.20,Butirilacetato de metila
2918.30.3,Ácido deidrocólico e seus sais
2918.30.31,Ácido deidrocólico
2918.30.32,Deidrocolato de sódio
2918.30.33,Deidrocolato de magnésio
2918.30.39,Outros
2918.30.40,Acetilacetato de 2-nitrometilbenzilideno
2918.30.90,Outros
2918.9,- Outros:
2918.91.00,"-- 2,4,5-T (ISO) (ácido 2,4,5-triclorofenoxiacético), seus sais e seus ésteres"
2918.99,-- Outros
2918.99.1,"Ácido fenoxiacético, seus sais e seus ésteres; derivados destes produtos"
2918.99.11,"Ácido fenoxiacético, seus sais e seus ésteres"
2918.99.12,"Ácido 2,4-diclorofenoxiacético (2,4-D), seus sais e seus ésteres"
2918.99.19,Outros
2918.99.2,"Ácidos fenoxibutanoicos, seus sais e seus ésteres; derivados destes produtos"
2918.99.21,"Ácidos diclorofenoxibutanoicos, seus sais e seus ésteres"
2918.99.29,Outros
2918.99.30,Acifluorfen sódico
2918.99.40,Naproxeno
2918.99.50,"Ácido 3-(2-cloro-alfa, alfa, alfa-trifluor-p-toliloxi)benzoico"
2918.99.60,Diclofop-metila
2918.99.9,Outros
2918.99.91,Fenofibrato
2918.99.92,"Ácidos metilclorofenoxiacéticos, seus sais e seus ésteres"
2918.99.93,5-(2-Cloro-4-trifluorometilfenoxi)-2-nitrobenzoato de 1'-(carboetoxi)etila (lactofen)
2918.99.94,"Ácido 4-(4-hidroxifenoxi)-3,5-di-iodofenilacético"
2918.99.99,Outros
29.19,"Ésteres fosfóricos e seus sais, incluindo os lactofosfatos; seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2919.10.00,"- Fosfato de tris(2,3-dibromopropila)"
2919.90,- Outros
2919.90.10,De tributila
2919.90.20,De tricresila
2919.90.30,De trifenila
2919.90.40,Diclorvós (DDVP)
2919.90.50,Lactofosfato de cálcio
2919.90.60,Clorfenvinfós
2919.90.90,Outros
29.20,"Ésteres dos outros ácidos inorgânicos de não metais (exceto os ésteres de halogenetos de hidrogênio) e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados."
2920.1,"- Ésteres tiofosfóricos (fosforotioatos) e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados:"
2920.11,-- Paration (ISO) e paration-metila (ISO) (metil paration)
2920.11.10,Paration (etil paration)
2920.11.20,Paration-metila (metil paration)
2920.19,-- Outros
2920.19.10,Fenitrotion
2920.19.20,Cloreto de fosforotioato de dimetila
2920.19.90,Outros
2920.2,"- Ésteres de fosfitos e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados:"
2920.21.00,-- Fosfito de dimetila
2920.22.00,-- Fosfito de dietila
2920.23.00,-- Fosfito de trimetila
2920.24.00,-- Fosfito de trietila
2920.29,-- Outros
2920.29.10,Fosfito de alquila de C3 a C13 ou de alquil-arila
2920.29.20,Fosfito de difenila
2920.29.30,"Outros fosfitos, de arila"
2920.29.40,Fosetil Al
2920.29.50,"Fosfito de tris(2,4-di-ter-butilfenila)"
2920.29.90,Outros
2920.30.00,- Endossulfan (ISO)
2920.90,- Outros
2920.90.2,Sulfitos
2920.90.22,Propargite
2920.90.29,Outros
2920.90.3,Nitratos
2920.90.31,De propatila
2920.90.32,Nitroglicerina
2920.90.33,"Tetranitrato de pentaeritritol (PETN, nitropenta, pentrita)"
2920.90.39,Outros
2920.90.4,Sulfatos
2920.90.41,De alquila de C6 a C22
2920.90.42,De monoalquildietilenoglicol ou de monoalquiltrietilenoglicol
2920.90.49,Outros
2920.90.5,Silicatos
2920.90.51,De etila
2920.90.59,Outros
2920.90.90,Outros
29.21,Compostos de função amina.
2921.1,- Monoaminas acíclicas e seus derivados; sais destes produtos:
2921.11,"-- Mono-, di- ou trimetilamina e seus sais"
2921.11.1,Monometilamina e seus sais
2921.11.11,Monometilamina
2921.11.12,Sais
2921.11.2,Dimetilamina e seus sais
2921.11.21,Dimetilamina
2921.11.22,"2,4-Diclorofenoxiacetato de dimetilamina"
2921.11.23,Metilclorofenoxiacetato de dimetilamina
2921.11.29,Outros
2921.11.3,Trimetilamina e seus sais
2921.11.31,Trimetilamina
2921.11.32,Cloridrato de trimetilamina
2921.11.39,Outros
2921.12.00,"-- Cloridrato de 2-cloroetil(N,N-dimetilamina)"
2921.13.00,"-- Cloridrato de 2-cloroetil(N,N-dietilamina)"
2921.14.00,"-- Cloridrato de 2-cloroetil(N,N-di-isopropilamina)"
2921.19,-- Outros
2921.19.1,Etilaminas e seus derivados; sais destes produtos
2921.19.11,Monoetilamina e seus sais
2921.19.12,Trietilamina
2921.19.13,Bis(2-cloroetil)etilamina
2921.19.14,Triclormetina (DCI) (tris(2-cloroetil)amina)
2921.19.15,"Dietilamina e seus sais, exceto etansilato (ethamsylate)"
2921.19.19,Outros
2921.19.2,n-Propilaminas e isopropilaminas; sais destes produtos
2921.19.21,Mono-n-propilamina e seus sais
2921.19.22,Di-n-propilamina e seus sais
2921.19.23,Monoisopropilamina e seus sais
2921.19.24,Di-isopropilamina e seus sais
2921.19.29,Outros
2921.19.3,Butilaminas e seus sais
2921.19.31,Di-isobutilamina e seus sais
2921.19.39,Outros
2921.19.4,"Monoalquilaminas, metildialquilaminas e dialquilaminas, com grupos alquila de C10 a C18"
2921.19.41,Metildialquilaminas
2921.19.49,Outras
2921.19.9,Outros
2921.19.91,Clormetina (DCI) (bis(2-cloroetil)metilamina)
2921.19.92,"N,N-Dialquil-2-cloroetilamina, com grupos alquila de C1 a C3, e seus sais protonados"
2921.19.93,Mucato de isometepteno
2921.19.94,"N,N-Dimetilcetilamina"
2921.19.99,Outros
2921.2,- Poliaminas acíclicas e seus derivados; sais destes produtos:
2921.21.00,-- Etilenodiamina e seus sais
2921.22.00,-- Hexametilenodiamina e seus sais
2921.29,-- Outros
2921.29.10,Dietilenotriamina e seus sais
2921.29.20,Trietilenotetramina e seus sais
2921.29.90,Outros
2921.30,"- Monoaminas e poliaminas, ciclânicas, ciclênicas ou cicloterpênicas, e seus derivados; sais destes produtos"
2921.30.1,Cicloexilaminas e seus sais
2921.30.11,Monocicloexilamina e seus sais
2921.30.12,Dicicloexilamina
2921.30.19,Outros
2921.30.20,Propilexedrina
2921.30.90,Outros
2921.4,- Monoaminas aromáticas e seus derivados; sais destes produtos:
2921.41.00,-- Anilina e seus sais
2921.42,-- Derivados da anilina e seus sais
2921.42.1,Ácidos aminobenzenossulfônicos e seus sais
2921.42.11,Ácido sulfanílico e seus sais
2921.42.19,Outros
2921.42.2,Cloroanilinas e seus sais
2921.42.21,"3,4-Dicloroanilina e seus sais"
2921.42.29,Outros
2921.42.3,Nitroanilinas e seus sais
2921.42.31,4-Nitroanilina
2921.42.39,Outros
2921.42.4,Cloronitroanilinas e seus sais
2921.42.41,5-Cloro-2-nitroanilina
2921.42.49,Outros
2921.42.90,Outros
2921.43,-- Toluidinas e seus derivados; sais destes produtos
2921.43.1,Toluidinas e seus sais
2921.43.11,o-Toluidina
2921.43.19,Outros
2921.43.2,Derivados das toluidinas; sais destes produtos
2921.43.21,3-Nitro-4-toluidina e seus sais
2921.43.22,Trifluralina
2921.43.23,4-Cloro-2-toluidina
2921.43.29,Outros
2921.44,-- Difenilamina e seus derivados; sais destes produtos
2921.44.10,Difenilamina e seus sais
2921.44.2,Derivados da difenilamina; sais destes produtos
2921.44.21,n-Octildifenilamina
2921.44.22,n-Nonildifenilamina
2921.44.29,Outros
2921.45.00,"-- 1-Naftilamina (alfa-naftilamina), 2-naftilamina (beta-naftilamina), e seus derivados; sais destes produtos"
2921.46,"-- Anfetamina (DCI), benzofetamina (DCI), dexanfetamina (DCI), etilanfetamina (DCI), fencanfamina (DCI), fentermina (DCI), lefetamina (DCI), levanfetamina (DCI) e mefenorex (DCI); sais destes produtos"
2921.46.10,Anfetamina e seus sais
2921.46.20,Benzofetamina e seus sais
2921.46.30,Dexanfetamina e seus sais
2921.46.40,Etilanfetamina e seus sais
2921.46.50,Fencanfamina e seus sais
2921.46.60,Fentermina e seus sais
2921.46.70,Lefetamina e seus sais
2921.46.80,Levanfetamina e seus sais
2921.46.90,Mefenorex e seus sais
2921.49,-- Outros
2921.49.10,Cloridrato de fenfluramina
2921.49.2,Xilidinas e seus derivados; sais destes produtos
2921.49.21,"2,4-Xilidina e seus sais"
2921.49.22,Pendimetalina
2921.49.29,Outros
2921.49.3,Tranilcipromina e seus sais
2921.49.31,Sulfato de tranilcipromina
2921.49.39,Outros
2921.49.90,Outros
2921.5,- Poliaminas aromáticas e seus derivados; sais destes produtos:
2921.51,"-- o-, m-, p-Fenilenodiamina, diaminotoluenos, e seus derivados; sais destes produtos"
2921.51.1,"o-, m-, p-Fenilenodiamina; diaminotoluenos; sais destes produtos"
2921.51.11,m-Fenilenodiamina e seus sais
2921.51.12,Diaminotoluenos (toluilenodiaminas)
2921.51.19,Outros
2921.51.20,Derivados sulfonados das fenilenodiaminas e de seus derivados; sais destes produtos
2921.51.3,Outros derivados das fenilenodiaminas; sais destes produtos
2921.51.31,"N,N'-Di-sec-butil-p-fenilenodiamina"
2921.51.32,N-Isopropil-N'-fenil-p-fenilenodiamina
2921.51.33,"N-(1,3-Dimetilbutil)-N'-fenil-p-fenilenodiamina"
2921.51.34,"N-(1,4-Dimetilpentil)-N'-fenil-p-fenilenodiamina"
2921.51.35,N-Fenil-p-fenilenodiamina (4-aminodifenilamina) e seus sais
2921.51.39,Outros
2921.51.90,Outros
2921.59,-- Outros
2921.59.1,Benzidina e seus derivados; sais destes produtos
2921.59.11,"3,3'-Diclorobenzidina"
2921.59.19,Outros
2921.59.2,Diaminodifenilmetanos
2921.59.21,"4,4'-Diaminodifenilmetano"
2921.59.29,Outros
2921.59.3,Diaminodifenilaminas e seus derivados; sais destes produtos
